NAME	TEXT	GENRE
AlexG_1	AlexG	R
AlexG_2	AlexG	R
AlexG_3	AlexG	R
AlexG_4	AlexG	R
AlexG_5	AlexG	R
AlexG_6	AlexG	R
HdHeim_1	HdHeim	D
HvTroy_1	HvTroy	R
HvTroy_2	HvTroy	R
HvTroy_3	HvTroy	R
HvTroy_4	HvTroy	R
HvTroy_5	HvTroy	R
HvTroy_6	HvTroy	R
HvTroy_7	HvTroy	R
HvTroy_8	HvTroy	R
HvTroy_9	HvTroy	R
HvTroy_10	HvTroy	R
HvTroy_11	HvTroy	R
HvTroy_12	HvTroy	R
HvTroy_13	HvTroy	R
HvTroy_14	HvTroy	R
HvTroy_15	HvTroy	R
HvTroy_16	HvTroy	R
HvTroy_17	HvTroy	R
HvdGrale_1	HvdGrale	R
HvdGrale_2	HvdGrale	R
HvdGrale_3	HvdGrale	R
RijmB_1	RijmB	H
RijmB_2	RijmB	H
RijmB_3	RijmB	H
RijmB_4	RijmB	H
RijmB_5	RijmB	H
RijmB_6	RijmB	H
RijmB_7	RijmB	H
RijmB_8	RijmB	H
RijmB_9	RijmB	H
RijmB_10	RijmB	H
RijmB_11	RijmB	H
RijmB_12	RijmB	H
RijmB_13	RijmB	H
RijmB_14	RijmB	H
RijmB_15	RijmB	H
RijmB_16	RijmB	H
SFrancL_1	SFrancL	H
SFrancL_2	SFrancL	H
SFrancL_3	SFrancL	H
SFrancL_4	SFrancL	H
SpH3_1	SpH3	H
SpH3_2	SpH3	H
SpH3_3	SpH3	H
SpH3_4	SpH3	H
SpH3_5	SpH3	H
SpH3_6	SpH3	H
SpH3_7	SpH3	H
SpH3_8	SpH3	H
SpH3_9	SpH3	H
SpH3_10	SpH3	H
SpH3_11	SpH3	H
SpH3_12	SpH3	H
SpH3_13	SpH3	H
SpH3_14	SpH3	H
dNBloem_1	dNBloem	D
dNBloem_2	dNBloem	D
dNBloem_3	dNBloem	D
dNBloem_4	dNBloem	D
dNBloem_5	dNBloem	D
dNBloem_6	dNBloem	D
dNBloem_7	dNBloem	D